voter,licensed,philippines,gender,age,working,industry,years_service,institution,tenure,gross_salary,net_salary,benefits1,benefits2,benefits3,benefits4,benefits5,otherbenefits1,otherbenefits2,otherbenefits3,otherbenefits4,materials1,materials2,materials3,materials4,materials5,materials6,materials7,othermaterials1,othermaterials2,othermaterials3,othermaterials4,position,fiveyears,pursue,education,enrolled,completing,study_again,5yearsdegree,cpd1,cpd2,cpd3,cpd4,cpdsupport1,cpdsupport2,cpdsupport3,cpdsatisfaction,cpdbarriers1,cpdbarriers2,cpdbarriers3,topics1,topics2,topics3,topics4,topics5,location,worktravel,filipino,dialect,foreignlang,type,roles,institutionposition,primaryjob,affiliation,factor
330,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,34,"Yes, I am currently employed by an institution, agency, individual or similar.",library,9,government,permanent,30,18,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,monetary allowances,NA,NA,government employee allowances and bonuses,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,derivatives of digitized materials,NA,NA,NA,regular / senior staff (non-supervisory),Yes,anwered yes,Bachelor's degree (non-BLIS),Yes,Master's degree (MLIS),Yes,Short | Certificate | Diploma Program,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",finding available caretaker for my children during seminars that are longer than a day.,NA,NA,information security; dangerous librarianship;,NA,NA,NA,NA,NCR,Yes,Yes,Kapampangan,English only,academic library,Information Technology specialist.,College Librarian II,Reference Librarian / IT Librarian,PLAI,Cost; People who are already members; goals of the organization
331,"Yes, I have a valid and up-to-date PRC license for librarians","No, I am currently residing outside the Philippines",Man,34,"Yes, I am currently employed by an institution, agency, individual or similar.",library,12,private (in-house),permanent,100,80,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,41,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,government,permanent,21,11,paid vacation and/or sick leaves,NA,NA,NA,NA,"Performance Incentive Bonus, Clothing Allowance, Performance Based-Bonus, Sports Allowance and Loyalty Pay",NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,Been designated to another work/field aside from being the campus librarian to mention a few are; BAC member and Selection and Hiring of Personnel Committee member,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,NA,Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.","Registration for the seminars are the main problem that arises with this CPD points, not the amount or points acquired perse.",NA,NA,"Management...
How to deal with co-workers healthily...
How to embrace and adapt
 new challenges and changes...",NA,NA,NA,NA,Region II,No,Yes,Ilocano,none,Academic,"BAC member
Selection and Hiring of Personnel Committee member",Campus Librarian (lone),One man librarian (all around); the supervisor and the staff (;,PLAI,Affiliation and Linkages
333,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,27,"Yes, I am currently employed by an institution, agency, individual or similar.",library,5,government,permanent,40,35,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,(None),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,31,"Yes, I am currently employed by an institution, agency, individual or similar.",library,7,government,permanent,20,18,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,None,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Short | Certificate | Diploma Program,government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,"from the government (scholarships, free trainings and seminars, etc)",from the work place (private sponsorship),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",I have to write all my insights and learnings of every topic discussed and the time given to do so is minimal that I have to bring them at home.,NA,NA,"Archives, conservation and preservation of library materials",NA,NA,NA,NA,Region VII,No,No,Cebuano,None,Academic Library,"Part-time instructor, GSIS liaison officer and alternate cashier",College librarian with 1 JO employee and 1 student assistant,All of the above,"PLAI, CLAI",Create linkages and widen my horizon with the profession and do collaboration with my colleagues
335,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,34,"Yes, I am currently employed by an institution, agency, individual or similar.",library,13,government,permanent,38,20,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),Yes,Master's degree (MLIS),Maybe,NA,government facilitated trainings and symposiums,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,Yes,Yes,Ilocano,NA,Academic library / State university library,NA,College Librarian III,Supervisory / Head librarian,PLAI,To update my profession thru seminars/training/workshops conducted by different library organizations.
336,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,24,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,private (in-house),contractual,15,10,paid vacation and/or sick leaves,NA,NA,NA,NA,Hospitalization,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Maybe / Undecided,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region IX,No,Yes,Ilonggo,Chavacano,NA,NA,Audio Visual Librarian,Audio visual,Plai,NA
337,"No, I have not renewed my license","Yes, I am currently residing and staying in the Philippines",Man,24,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,private (in-house),permanent,NA,NA,NONE / Not Applicable,NA,NA,NA,NA,N/A,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,N/A,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,N/A,Master's degree (MLIS),Yes,Master's degree (MLIS),No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NO BUDGET,NA,NA,N/A,NA,NA,NA,NA,Region III,Yes,Yes,Bicolano,NA,Academic Library,N/A,Mid-level librarian working with other librarian,ALL,PLAI,N/A
338,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,24,"No, I am currently not working for reasons other than retirement.",archives and/or records management,1,government,voluntary work,1,1,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,archives (physical),law materials and resources,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,60,"Yes, I am currently employed by an institution, agency, individual or similar.",library,33,private (BPO),contractual,26,24,NONE / Not Applicable,NA,NA,NA,NA,"Rice allowance
communication allowance",NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,research,NA,NA,NA,supervisory / mid-management level,No (planning to shift to other fields or industry),Home based business,Doctor of Philosophy (Ph.D),No.,NA,No,NA,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.","High cost of registration fees.
Schools are not CPD providers.
Need for certificate of good standing from  accredited organization by PRC.
No trainings with CPE points online.",NA,NA,"Trends in Future Librarianship
Innovative Libraries 
Research on Libraries (Quali and Quanti)
Professional Ethics
Laws for Librarianship
Alignment of Asean Librarianship",NA,NA,NA,NA,Region V,No,No,Bicolano,Spanish,Academic,"Panelist/Adviser for Thesis Writers
Asst Professor
Consultant",OIC Director,Administration,"PLAI, PAARL",updating
340,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,32,"Yes, I am currently employed by an institution, agency, individual or similar.",library,9,non-profit,permanent,16,13,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,none,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,newspaper clippings,NA,NA,NA,regular / senior staff (non-supervisory),No (planning to shift to other fields or industry),business,Bachelor's degree (BLIS),No.,Master's degree (MLIS),Maybe,Short | Certificate | Diploma Program,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),"1. The registration amount is expensive, compare to the CPD units.
2. Location of training/seminar were far, within local are not CPD units.",NA,NA,"Classification and Cataloging
Updates in Librarianship
Preservation of library materials
Digitization of library materials
Library team-building
Library team customer service",NA,NA,NA,NA,CAR,Yes,No,Others,"Ibaloi, Ilocano, Kankanaey, Filipino",University Library,"Assisting/ member in institutional activities, like enrollment, graduation, safety and security",Librarian,"Reference, Collection Development, Cataloging/Classification, Records 
(all around librarian)",PLAI,requirement
341,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),3,private (in-house),contractual,15,15,monetary allowances,NA,NA,NA,NA,none,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,institutional files and records,NA,NA,NA,NA,internet service,NA,NA,NA,entry level / junior staff,Maybe / Undecided,business,Master's degree (MLIS),No.,Master's degree (MLIS),Maybe,Short | Certificate | Diploma Program,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.","expenses, the place of seminars with cpd points are usually from far or expensive venue and filing of leave when attending seminar",NA,NA,"research, more on technology base",NA,NA,NA,NA,Region III,Yes,Yes,Kapampangan,none,Academic Library,none,Senior High School Librarian,Circulation and reference,PLAI,they are required
342,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,49,"Yes, I am currently employed by an institution, agency, individual or similar.",library,26,government,permanent,24,21,monetary allowances,NA,NA,NA,NA,Mid yr.bonus.yr.end bonus.clothing allow.anniversary bonus.pei.,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,NA,Master's degree (MLIS),No.,NA,No,NA,government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Too high seminar fee,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Others,NA,Public high school library,NA,Head librarian,School librarian,Pasli,Professional growth
